-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1981 through 04/23/2020 
Location: Latitude  47.3929   Longitude -124.3132 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 107.92 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (kg kg-1) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PRECTOT,PS,QV2M,T2M_RANGE,TS,T2MDEW,T2M,WS50M,WS10M,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
47.39291,-124.31319,1981,04,19,    1.17,  100.12,  0.006274,    5.15,   10.26,    7.04,    9.84,    5.90,    4.80,-999,-999,-999
47.39291,-124.31319,1981,04,20,    8.47,  100.73,  0.005615,    2.83,    8.88,    5.52,    7.87,    4.74,    3.80,-999,-999,-999
47.39291,-124.31319,1981,04,21,   28.50,  100.47,  0.007204,    3.78,    9.91,    9.08,    9.77,    5.21,    3.91,-999,-999,-999
47.39291,-124.31319,1981,04,22,   11.89,  100.40,  0.008152,    2.13,   11.11,   10.96,   11.42,    6.54,    4.56,-999,-999,-999
47.39291,-124.31319,1981,04,23,   14.25,   99.87,  0.007634,    5.96,   10.90,    9.82,   11.15,    7.12,    5.03,-999,-999,-999
47.39291,-124.31319,1981,04,24,    0.73,  100.56,  0.004977,    3.69,    8.80,    3.78,    8.17,    4.85,    3.65,-999,-999,-999
47.39291,-124.31319,1981,04,25,    0.19,  100.43,  0.004939,    6.51,    8.94,    3.60,    8.36,    5.07,    4.08,-999,-999,-999
47.39291,-124.31319,1981,04,26,    1.64,  100.55,  0.005350,    5.47,    9.37,    4.75,    8.92,    4.48,    3.52,-999,-999,-999
47.39291,-124.31319,1981,04,27,   45.70,  100.80,  0.006559,    3.59,    9.16,    7.69,    8.74,    9.34,    7.22,-999,-999,-999
47.39291,-124.31319,1981,04,28,   16.75,  100.99,  0.007837,    1.08,   10.70,   10.47,   10.82,    4.61,    3.21,-999,-999,-999
47.39291,-124.31319,1981,04,29,    2.24,  100.60,  0.008622,    8.37,   12.60,   11.75,   13.79,    2.00,    1.33,-999,-999,-999
47.39291,-124.31319,1981,04,30,    1.68,  100.37,  0.007852,    4.69,   11.60,   10.36,   11.87,    3.84,    2.56,-999,-999,-999
47.39291,-124.31319,1981,05,01,    5.31,  100.33,  0.006196,    2.45,    9.70,    6.90,    9.44,    6.81,    5.23,-999,-999,-999
47.39291,-124.31319,1981,05,02,    6.47,  100.30,  0.005839,    3.45,    9.71,    6.04,    9.19,    4.97,    3.82,-999,-999,-999
47.39291,-124.31319,1981,05,03,   16.70,   99.95,  0.005660,    2.54,    8.61,    5.53,    7.03,    4.77,    3.77,-999,-999,-999
47.39291,-124.31319,1981,05,04,    4.30,  100.37,  0.005174,    2.15,    8.31,    4.31,    6.33,    2.53,    2.05,-999,-999,-999
47.39291,-124.31319,1981,05,05,    1.01,  100.83,  0.005391,    4.20,    9.44,    4.97,    8.59,    2.97,    2.42,-999,-999,-999
47.39291,-124.31319,1981,05,06,    3.72,  100.99,  0.005626,    2.32,    9.09,    5.60,    7.82,    2.96,    2.32,-999,-999,-999
47.39291,-124.31319,1981,05,07,    1.20,  100.76,  0.005637,    3.77,    9.47,    5.59,    9.20,    3.21,    2.49,-999,-999,-999
47.39291,-124.31319,1981,05,08,    3.00,  100.85,  0.006346,    6.74,   10.08,    7.15,   10.11,    5.38,    4.06,-999,-999,-999
